"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","V13.1","V14.1","V15.1","V16.1","V17.1","V18.1","V19.1","V20.1","V21.1","V22.1","V23.1","V24.1","V25.1","V26.1","V27.1","V28.1","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2","V13.2","V14.2","V15.2","V16.2","V17.2","V18.2","V19.2","V20.2","V21.2","V22.2","V23.2","V24.2","V25.2","V26.2","V27.2","V28.2","V1.3","V2.3","V3.3","V4.3","V5.3","V6.3","V7.3","V8.3","V9.3","V10.3","V11.3","V12.3","V13.3","V14.3","V15.3","V16.3","V17.3","V18.3","V19.3","V20.3","V21.3","V22.3","V23.3","V24.3","V25.3","V26.3","V27.3","V28.3","V1.4","V2.4","V3.4","V4.4","V5.4","V6.4","V7.4","V8.4","V9.4","V10.4","V11.4","V12.4","V13.4","V14.4","V15.4","V16.4","V17.4","V18.4","V19.4","V20.4","V21.4","V22.4","V23.4","V24.4","V25.4","V26.4","V27.4","V28.4"
0.192450089729875,0.384900179459751,0,0,0,0,0,0,0,0,0,0,0.577350269189626,0,0,0.192450089729875,0.384900179459751,0,0,0,0,0,0,0.384900179459751,0,0,0.384900179459751,0,0.158113883008419,0.474341649025257,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158113883008419,0.474341649025257,0,0,0,0,0,0,0.316227766016838,0,0,0.632455532033676,0,0.458831467741123,0.229415733870562,0,0,0,0,0,0,0,0,0,0,0.229415733870562,0,0,0.458831467741123,0,0,0,0,0,0,0,0.688247201611685,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0.166666666666667,0.5,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.5,0,0,0,0,0,0,0,0.333333333333333,0,0,0.5,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894427190999916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832050294337844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554700196225229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.196116135138184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98058067569092,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0.471404520791032,0,0,0,0,0,0,0,0,0,0,0.235702260395516,0,0,0,0,0.707106781186548,0,0,0,0,0,0,0,0,0,0.471404520791032,0,0.566946709513841,0,0,0,0,0,0,0,0,0,0,0.188982236504614,0,0,0,0,0.566946709513841,0,0,0,0,0,0,0,0,0,0.566946709513841
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534522483824849,0,0,0,0,0,0.801783725737273,0,0,0,0,0.267261241912424,0,0,0,0,0,0,0,0,0,0,0,0,0.688247201611685,0,0,0,0.688247201611685,0,0,0,0,0,0,0,0,0,0,0.229415733870562,0,0,0,0,0,0,0,0,0,0,0,0,0.277350098112615,0,0,0,0.277350098112615,0,0.832050294337844,0,0,0,0.277350098112615,0,0,0,0,0.277350098112615,0,0,0,0,0.174077655955698,0,0,0,0,0,0,0,0,0,0,0,0.522232967867094,0,0.348155311911396,0.174077655955698,0,0,0.522232967867094,0,0,0,0,0.522232967867094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462910049886276,0,0.771516749810459,0.308606699924184,0,0,0.308606699924184,0,0,0,0,0,0
0.242535625036333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970142500145332,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894427190999916,0,0,0,0,0,0,0.904534033733291,0,0,0,0,0.301511344577764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301511344577764,0,0,0,0,0,0,0.577350269189626,0,0,0,0,0.577350269189626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269189626,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.612372435695795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0.204124145231932,0,0,0,0.612372435695795,0,0.204124145231932,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0.166666666666667,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.685994340570035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171498585142509,0,0.685994340570035,0,0,0,0.171498585142509,0,0,0,0,0,0,0.768349819927832,0,0,0,0,0,0,0,0,0,0.219528519979381,0,0,0,0,0.219528519979381,0,0.548821299948452,0,0,0,0,0,0.10976425998969,0,0,0,0,0.654653670707977,0,0,0,0,0,0,0,0,0,0.218217890235992,0,0,0,0,0,0,0.654653670707977,0,0,0,0.218217890235992,0,0.218217890235992,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.688247201611685,0,0,0,0,0,0,0,0,0,0.688247201611685,0,0,0,0,0,0,0,0.229415733870562,0,0,0,0,0,0,0,0,0,0.258198889747161,0,0,0,0,0,0,0,0,0,0.516397779494322,0,0,0,0,0,0.258198889747161,0,0.774596669241483,0,0,0,0,0,0,0,0,0,0.588348405414552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784464540552736,0,0.196116135138184,0,0,0,0,0,0,0,0,0,0.868243142124459,0,0,0,0,0,0,0,0,0,0.496138938356834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588348405414552,0,0,0,0,0,0,0,0,0,0.784464540552736,0,0,0,0,0,0.196116135138184,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0.707106781186547,0,0,0,0,0,0
0.242535625036333,0,0,0.970142500145332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0.816496580927726,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832050294337844,0,0,0,0,0,0,0,0,0.554700196225229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0.816496580927726,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534522483824849,0,0,0,0,0,0,0,0,0,0,0.267261241912424,0,0,0.801783725737273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832050294337844,0,0,0.554700196225229,0,0,0
0.182574185835055,0.182574185835055,0,0,0,0,0,0,0.182574185835055,0,0.547722557505166,0,0,0,0.182574185835055,0,0,0,0,0,0,0.730296743340221,0,0.182574185835055,0,0,0,0,0.610847221781526,0.122169444356305,0,0,0,0,0,0,0.24433888871261,0,0,0,0,0,0.122169444356305,0,0,0,0,0,0,0.733016666137831,0,0,0,0,0,0,0.356348322549899,0.267261241912424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.890870806374748,0,0.0890870806374748,0,0,0,0,0.130188910980824,0.130188910980824,0,0,0,0,0,0,0.130188910980824,0,0.520755643923296,0,0,0,0.260377821961648,0,0,0,0,0,0,0.781133465884943,0,0,0,0,0,0,0.223606797749979,0.223606797749979,0,0,0,0,0,0,0.223606797749979,0,0,0,0,0,0,0,0,0,0,0,0,0.894427190999916,0,0.223606797749979,0,0,0,0
0,0.87287156094397,0,0,0,0,0,0,0,0,0,0,0,0.218217890235992,0,0,0,0,0,0,0,0.436435780471985,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.4,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0.485071250072666,0,0,0,0,0,0.485071250072666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727606875108999,0,0,0,0,0,0,0,0.211999576001272,0,0,0,0,0,0.211999576001272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953998092005724,0,0,0,0,0,0
0.240771706171538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120385853085769,0,0,0,0,0,0.963086824686154,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0.390566732942472,0,0,0,0,0,0.130188910980824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911322376865767,0,0,0,0,0,0,0.771516749810459,0,0,0,0,0,0.154303349962092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617213399848368,0,0,0,0,0,0,0.314485451016575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104828483672192,0,0,0,0,0,0.943456353049727,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.894427190999916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0.816496580927726,0,0,0,0,0,0,0,0,0,0.904534033733291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301511344577764,0,0,0.301511344577764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948683298050514,0,0,0,0,0,0,0.316227766016838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
